video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"z--nJY5vjnU","Байден и Си Цзиньпин об угрозах Путина и войне в Украине","2022-11-14T18:00:22Z","UCXoAjrdHFa2hEL3Ug8REC1w","DW на русском","25","22.15.11","Deutsche Welle|DW|Дойче велле|новости|dw russian|dw на русском|DW Новости|дойче велле на русском|дойче велле новости ютуб|Си Цзиньпин G20|Джо Байден Си Дзиньпин|Джо Байден G20|Китай Тайвань|война в Украине","604146","0","0","401","https://i.ytimg.com/vi/z--nJY5vjnU/default.jpg","False","True","Накануне саммита G20 в Индонезии состоялась первая очная встреча президента США Джо Байдена и председателя КНР Си Цзиньпина. Одной из главных тем трехчасовых переговоров стала война РФ против Украины. По данным американской стороны, Байден и Си осудили российские угрозы использования ядерного оружия.#Байден #СиЦзиньпин #Путин--------------------------------Как обойти блокировку DW?🔵 По зеркальной ссылке: https://26394.info🔵 Через наше партнерское приложение Psiphon (отправьте пустой email на dw-w@psiphon3.com - ссылка для скачивания придет к вам автоматически)🔵 Через любое приложение VPN🔵 Через приложение DW в AppStore (https://apps.apple.com/ru/app/dw/id498833085) и GooglePlay (https://play.google.com/store/apps/details?id=com.idmedia.android.newsportal&hl=de&gl=US)--------------------------------Больше новостей на нашем сайте http://www.dw.com/russianв Facebook https://www.facebook.com/DWrussianTwitter https://twitter.com/dw_russianи Telegram https://t.me/dwglavnoe"
"I2M4aZxNGmI","Проверка Самых Странных Товаров Интернета! #магазиннадиване","2022-11-14T16:28:55Z","UC6JRrn_7Qe1CZBcQDMieadw","ExileShow","24","22.15.11","самыестранныевещи|заказал|купил|товары|интернета|проверка|магазиннадиване|exile|эксайл|иксайл|frametamer|горилла|проверили","1204527","0","0","2801","https://i.ytimg.com/vi/I2M4aZxNGmI/default.jpg","False","True","Мой ТГ: https://t.me/exilemusic13Скидка 1000 рублей на realme 10 по промокоду REALME1000: http://bit.ly/3EvMnTQСегодня я заказал очень странные вещи с интернет и теле магазинов, которые мы с ребятами проверили.Участники1) Данила Горилла - https://t.me/danila_gorilla2) Саня Парадеич - https://t.me/paradeevich3) Леша Кореш - https://t.me/koreshzy4) FrameTamer - https://t.me/oieiei"
"AYDMHpWwg2o","Арби vs Тамаев. Гонка за 2 млн! Сгорела Машина","2022-11-15T10:03:17Z","UCE_1WegCXL1GATlK2WiefgQ","Асхаб Тамаев","22","22.15.11","Тамаев арби эмиев|асхаб тамаев арби эмиев|тамаев|агрессор|тамаев гонка|арби эмиев стал фермером|махачкала|чечня|гонка|арби эмиев пранк|тамаев пранк|машина сгорела|загорелась|тамаев машина|огонь|челлендж|асхаб тамаев|Один день|Пожар|Машина загорелась|Авто|Авто загорелся|Автомобиль|арби vs тамаев|тамаев сжег машину|асхаб|асхаб арби","305663","0","0","3298","https://i.ytimg.com/vi/AYDMHpWwg2o/default.jpg","False","True","Давайте сделаем уже 3 млн Подписчиков. Подписывайтесь на мой канал! Асхаб - https://www.instagram.com/tamaaevАрби - https://www.instagram.com/arbi_emiev_aggressor_Друзья, всем привет. В этом выпуске Тамаев и Арби решили устроить Гонку. Кто первый приедет из Грозного в Махачкалу получит 2 миллиона рублей. Но как обычно все пошло не по плану…Переходите и смотрите что произошло! Но поверьте, такого никто не ожидал! Машина горит…."
"TQAuKTA9Z9c","АниЗоро СЛИЛ СПАРТАКА - 277 Становая Тяга?! | @SJBody Как тебе ТАКОЕ?🔥⚔️🗡️","2022-11-15T09:14:46Z","UCDqkPHZ4DMFLjxNJfm4_Y7g","AniZoro","24","22.15.11","АниЗоро|Аниме|Спорт|Анимешник|Сильнейший анимешник|Sjbody|200voltsw|200 вольт|Владос|Спартак|Вызов спартака|Система тела|Юрий СПАСОКУКОЦКИЙ|Сильнейший в мире|Сила аниме|Боец баки|Зоро|бицепс|подъем на бицепс|спартак ответил|спартак принял вызов|спартак против анимешника|сальто от спартака|вызов сальто|анизоро делает сальто|владос|vlados|Спина демона|Накачать спину|вызов 200 вольт|акимбо против анизоро|скорость армрестлинг|как стать быстрее","208892","0","0","335","https://i.ytimg.com/vi/TQAuKTA9Z9c/default.jpg","False","True","По системе @SJBody я победил🤔🔥🗡️⚔️"
"NLjim0qRTE4","Россия: зона ссылок / Политические репрессии СССР / Лядов","2022-11-15T08:50:00Z","UCwPzq5yQwczLmivBX8zq7Mw","The Люди","19","22.15.11","лядов|антон лядов|the people|the люди|как люди живут|лядов с места событий|путешествие|зе люди|топ|гулаг|гулаг в сибири|как жили в гулаге|гулаг александровский централ|гулаг репрессии|гулаг централ|советский гулаг|архипелаг гулаг|тюрьма ссср|александровский централ|жизнь ворам|российская тюрьма|лядов гулаг|лядов в гулаге|ссср|сталин|тюрьма|заброшенная тюрьма|психушка|вор в законе|зона|каторга|заброшка|русские тайны|сталингулаг|тюремная психушка","200379","0","0","1254","https://i.ytimg.com/vi/NLjim0qRTE4/default.jpg","False","True","https://clc.to/HJje7A — Получите новую профессию и 5 онлайн-курсов в подарок! Черная пятница в GeekBrains!Инвестируйте с Финам! Откройте счет с тарифом «FreeTrade» по ссылке:https://clck.ru/32WXH6Откройте счёт для бизнеса с бесплатным обслуживанием в Альфа-Банке и получайте деньги за любые действия по счёту в новой программе лояльности: https://alfa.me/bIA6Hg Это Лядов и сегодня мы на Александровском Централе. Сегодня я покажу вам место, которое видело столько страданий, что ты попадаешь сюда и как будто чувствуешь их.Срок содержания на каторге Александровского Централа составлял от четырех лет до бесконечности.Много лет сюда отправляли заключенных, а когда тюрьма закрылась прямо здесь открыли больницу для душевно больных людей, которая проработала - ПОЧТИ ДО НАШИХ ДНЕЙ - до 2016го годаЗдесь до сих пор сохранились палаты… почти в том же состоянии что были, ванные комнат, где мыли этих душевно больных, спальни, изолятор , в котором ты как будто перестаешь чувствовать свои конечности. И дневники работавших здесь.Мы нашли главного врача, которой работал в этой больнице и других сотрудников, которые много помнят из того что раньше нельзя было рассказывать. В этих тюрьмах будут сидеть революционеры в том числе те, кто приведут нашу страну к появлению Советского Союза. А после прямо в этой тюрьме, прямо в этом здании решат сделать психиатрическую больницу и будут пытаться лечить душевнобольных прямо вот с этими окнами с решетками. Это Лядов с места исторических событий из Александровского Централа.Поддержать The Люди рублем: 💰Boosty: https://boosty.to/the_ludi?_1ld=3395117_0&_1lp=1&from=Infl_June22_The_Ludi_YT 💰Янекс: https://money.yandex.ru/to/410018668361180 💰Paypal: agerzen@gmail.com💥Купить мерч The Люди:https://vidak.shop/catalog/collections/theludi (весь мир)https://vidak.me/catalog/collections/theludi (РФ) 👉The Люди в соцсетях:Лядов в telegram https://t.me/Theludi1VK Антона Лядова: https://vk.com/id2733742 Подпишись на канал, чтобы не пропустить следующий выпуск https://www.youtube.com/channel/UCwPzq5yQwczLmivBX8zq7Mw?sub_confirmation=1"
"cYMTZPBuxvc","ИМПРОВИЗАЦИЯ НА ТНТ | Егор Крид","2022-11-15T08:00:30Z","UCOfVHvuOx5SanXGv29_yY-A","Импровизация","23","22.15.11","импровизация|тнт|юмор|импровизация смотреть онлайн|импровизация ютуб|шоу импровизация|антон шастун|сергей матвиенко|арсений попов|импровизация на тнт|дмитрий позов|импровизация шокеры|импровизация антон шастун|импровизация арсений попов|импровизация без цензуры|импровизация лучшее|шастун|импровизация смотреть|импровизация тнт|импровизация смотреть полностью|импровизация новый сезон|импровизация егор крид|импровизация крид|егор крид|крид в импровизации","631951","0","0","1458","https://i.ytimg.com/vi/cYMTZPBuxvc/default.jpg","False","True","Шоу Импровизация теперь и на YouTube! Гость программы: Егор Крид Смотри НОВЫЙ СЕЗОН шоу #ИМПРОВИЗАЦИЯ по воскресеньям в 22:00 на #ТНТПереходи на МегаФон, оператора №1 по скорости и покрытию интернета. https://clck.ru/32egus?&erid=2VtzqwTcCTzПроизводство: Comedy Club Production  Импровизация в соц. сетях: Telegram: https://t.me/Improvisation_tnt VK: https://vk.com/improvisationtnt TikTok: https://vm.tiktok.com/ZSesJxHTj/  Сайт: https://improcom.ru/  Телеканал ТНТ в соц. сетях: YouTube: https://www.youtube.com/channel/UCFKDcjx5ekaoMog_9zw82fA YouTube Shorts: https://www.youtube.com/channel/UCmVoIfd7II6lVCTovtncaNQ VK: https://vk.com/tnt Telegram: https://t.me/TNT_television Rutube: https://rutube.ru/channel/11234072/ Ok: https://ok.ru/tnt  Павел Воля: https://t.me/pvolya Арсений Попов: https://t.me/arsdvatri  Дмитрий Позов: https://t.me/pozov  Сергей Матвиенко: https://t.me/yamamatvienko  Антон Шастун: https://t.me/shastoonchannel Канал с импровизаторами: https://www.youtube.com/@improcom"
"2U-dUokLFvE","Как Нужин попал в руки к вагнеровцам?","2022-11-15T05:00:02Z","UCSqO8lV-ric7ow5G5q9roWw","ВОТ ТАК","25","22.15.11","вагнер|нужин|казнь|вагнеровцы|зэк|смерть|убили|кувалда|плен|пленный|россия|украина|обмен","398165","0","0","3837","https://i.ytimg.com/vi/2U-dUokLFvE/default.jpg","False","True","Новые подробности о казни вагнеровца Евгения Нужина, зверски убитого своими бывшими соратниками кувалдой. Комментарии журналиста @Volodymyr Zolkin и военного эксперта Виктора Ягуна.Кадр из видео @Бутусов Плюс Присылайте нам видео в чат-бот – https://t.me/belsatbot Сайт ВОТ ТАК – https://vot-tak.tv Сайт БЕЛСАТ – https://belsat.eu/ru/ iOS – https://apple.co/3u1TieJAndroid – https://bit.ly/3eWIZo3 По всем вопросам – belsat.eu@gmail.com Подписывайтесь на наши каналы:БЕЛСАТ NEWS – https://bit.ly/3pVaAvo ВОТ ТАК – https://bit.ly/3eW1R5GБЕЛСАТ LIFE – https://bit.ly/3t2IgsXЖЭСТАЧАЙШЫЙ МУЛЬТ - https://bit.ly/3zpLwQrБЕЛСАТ NOW – https://bit.ly/3FZk1iUБЕЛСАТ HISTORY – https://bit.ly/3qHZOaUБЕЛСАТ MUSIC – https://bit.ly/3yixU8D BIEŁSAT PL – https://bit.ly/3eQXR6FBELSAT ENGLISH – https://bit.ly/3HAG2F9БЕЛСАТ DOC – https://bit.ly/3EVNMjeВОТ ТАК NOW – https://bit.ly/3HHsSGHБЕЛСАТ SHORTS  – https://bit.ly/3pYpq4uВОТ ТАК SHORTS – https://bit.ly/3zqRfWaПодписывайтесь на наши социальные сети:Па-беларуску:Instagram – https://bit.ly/2RiZjGV Facebook – https://bit.ly/3bAskV8 Vkontakte – https://bit.ly/2S4mTqC Twitter – https://bit.ly/3ynMD1V Odnoklassniki – https://bit.ly/3fw20Nr Telegram – https://bit.ly/3tVgb3K TikTok – https://bit.ly/3eXPze5 По-русски:Telegram – https://bit.ly/3QdJYjeInstagram – https://bit.ly/3DX658NFacebook – https://bit.ly/3nbLXIYVkontakte – https://bit.ly/38V5Mg9Twitter – https://bit.ly/3uXZRjZ Po polsku:Instagram – https://bit.ly/3oq9QvU Facebook – https://bit.ly/3mup83YTwitter – https://bit.ly/3oqprM5 In English:Twitter – https://bit.ly/3fub0Ta #Нужин #вагнер #казнь"
"ZcXWvL9lZf0","Психолог Лина Дианова против Пассивной Агрессии | Линия Выгорания | КУБ","2022-11-15T08:00:22Z","UCfV8OBhRRrhCHm-UPX7_1Sg","КУБ","24","22.15.11","Новый формат|куб|психология|Лина Дианова|Психразбор|Псих разбор|Психолог Лина Дианова|Лысая психолог|Мужские стереотипы|Линия выгорания|куб лина дианова|ментальное здоровье|Лина|психолог лина|куб новый формат|куб психология|стереотипы|отношения|любовь|определить самооценку|самоанализ|Лина Дианова самооценка|детсво|детство самооценка|проблемы с родителями|пассивная агрессия|агрессия|здоровое проявление себя|пасивно агресивный|лина пассивная агрессия","121535","0","0","770","https://i.ytimg.com/vi/ZcXWvL9lZf0/default.jpg","False","True","Научитесь анализировать данные, чтобы вырасти в карьерном плане или сменить профессию: https://go.skillfactory.ru/gZPP-gПолучите скидку до 60% на обучение по промокоду КУБ до 30.11.2022Линия Выгорания посвященная теме абьюза:https://youtu.be/wAFbOQpVgXgСпециалист:Лина Дианова - https://www.instagram.com/lina_dianova/?hl=ru (соцсеть запрещенная в РФ)Ютуб Канал - https://www.youtube.com/channel/UCK4cb3WXFGXrs3rTrrEq03Q/videos Мария - https://instagram.com/mary_marazm (Соцсеть запрещенная в РФ)Павел - ​​https://instagram.com/_pavlec_ (Соцсеть запрещенная в РФ)Мария - https://instagram.com/wohella (Соцсеть запрещенная в РФ)Мэри - ​​https://instagram.com/meri.nverovna (Соцсеть запрещенная в РФ)Юлия - https://instagram.com/english.dontsova(Соцсеть запрещенная в РФ)Таймкоды: 00:00 - Рекомендуем посмотреть посвященный абьюзу00:22 - Тизер выпуска 01:00 - Герои рассказывают о себе02:53 - Заставка 03:13 - Лина Дианова о теме выпуска 04:07 - Когда вам что-то не нравится, вам трудно об этом говорить прямо.14:29 - Ваши родители открыто и ярко не конфликтовали, предпочитая подкалывать друг друга по мелочам и припоминать прошлые обиды.22:30 - Ваша мимика выражает эмоции лучше, чем слова (вздыхаете, закатываете глаза, цокаете и тп)29:07 - Вы критичный человек по отношению к себе и другим, у вас высокая планка ценностей и достижений.36:29 - В конце напряженных сообщений вы ставите смайлик, чтобы сгладить ситуацию«Например: «С длинными волосами тебе намного лучше )))»42:52 - Вы любите использовать сарказм в разговоре.47:44 - Вам свойственно использовать игнор в качестве наказания.01:00:41 - ВыводКУБ в VK - https://vk.com/kanalkub КУБ в TikTok - https://vm.tiktok.com/ZStj793X/​​​​​​​ Если хочешь стать участником одного из форматов – присылай на почту thecoub688@gmail.com ссылки на свои соцсети и с тобой свяжутся!#ЛинаДианова #куб #ЛинияВыгорания"
"SaWmsr-EtIk","ПОДПИСЧИК ЭКСТРАСЕНС НАГАДАЛ ЕГОРИКУ. Шоу Кросс и Каграманова. Кто твой подписчик?","2022-11-14T10:00:03Z","UCKC0KDcTiwYVS2y_dN5fGlg","BUBBLEGUN","22","22.15.11","карина кросс|кто твой подписчик|bubblegun|бабблган|tiktok|тиктокеры|блогеры|роман каграманов|Егорик|Лига","425423","0","0","2051","https://i.ytimg.com/vi/SaWmsr-EtIk/default.jpg","False","True","Заказывай новинку Шестерка Атласа Оливи Блейк на сайте Читай-город https://www.chitai-gorod.ru/r/aeYUr По промокоду GUN скидка 23% на все (кроме предзаказа) до 28 ноября https://www.chitai-gorod.ru/r/BCTiUКнига в кадре Оливи Блейк Шестерка Атласа, ООО Издательство АСТПодробнее про приложение Mir Pay по ссылке: https://clck.ru/32e3XLВ шоу «КТО ТВОЙ ПОДПИСЧИК» Карина Кросс и Рома Каграманов будут проверять насколько известные блогеры и артисты знают своих подписчиков. В этом выпуске гостем оказался король челленджей, представитель «Лиги» Егорик. Егорик отказался верить участнику Битвы Экстрасенсов. Экстрасенс рассказал всю правду про жизнь Кросс. Каграманов помог Егорику угадать половину подписчиков. Егорик увидел подписчицу, просмотревшую за пару дней все его ролики на ютуб. Каграманов пытается заставить попугая повторить его смех. Карина Кросс: https://t.me/KR0SSNEWSРома Каграманов: https://t.me/dusnilapartyЕгорик: https://t.me/s/egorikvtg По вопросам рекламы и коммерческих предложений, пожалуйста пишите на bubblegun@mediumquality.ru#лига #егорик #кросс #каграманов"
"7x5zetQaQ5c","ЧТО ЕДЯТ В АРМИИ в разных странах?! ОБЗОР ИРП США vs КИТАЯ vs ФРАНЦИИ vs ЧЕХИИ","2022-11-15T09:09:22Z","UCx4n7jRcierxERlImg70Xkg","Габарик и Столярик","24","22.15.11","ЧТО ЕДЯТ В АРМИИ в разных странах?! ОБЗОР ИРП США vs КИТАЯ vs ФРАНЦИИ vs ЧЕХИИ|ЧТО ЕДЯТ В АРМИИ в разных странах?!|ОБЗОР ИРП|ОБЗОР ИРП США|ОБЗОР ИРП США vs КИТАЯ vs ФРАНЦИИ vs ЧЕХИИ|ЧТО ЕДЯТ В АРМИИ|армия|ирп|сухой паёк|сухой паек сша|ирп армии|габар и столяр|габар|ГАБАР|алексей столяров|столярик|габарик|габарик и столярик|ГАБАРА|Столяров|Столярик|Gabar|габарик и столярик еда|дегустация ирп|еда|что едят в армии|армия сша|армия китая|армия франции|армия чехии","67968","0","0","379","https://i.ytimg.com/vi/7x5zetQaQ5c/default.jpg","False","True","РЕСПЕКТИКИ! Соскучился? А мы-то как по тебе скучали! Настолько, что потратили кучу денег на ИРП армий разных стран. А всё, чтобы ты узнал, какими галетами кормят чешских военных, почему во французский сухпаёк кладут испанские блюда и какое шоу обеспечено перед трапезой китайскому солдату! Ну, что может быть важнее этой информации?! Так что бросай клеить табурет, отложи в сторону свой телескоп, выключай телевизор и доставай ряженку. Настало время только для нас ТРОИХ! ЧТО ЕДЯТ В АРМИИ в разных странах?! ОБЗОР ИРП США vs КИТАЯ vs ФРАНЦИИ vs ЧЕХИИ __________________________________________________________________________________________ГабарТелеграм - https://t.me/hardgabarВК-  https://vk.cc/6MNeJaЮтуб - https://www.youtube.com/channel/UCTUjwDljDdBVAVpJ6H3B7zwАлексей СтоляровТелеграм - https://t.me/StolyaricВК - https://vk.com/stoliarovalekseyЮтуб - https://www.youtube.com/c/fitnessstoliarov__________________________________________________________________________#ГабарикСтолярик #Габар #Столяров #Габарик #Столярик #челлендж #ирп #сухпаёк #сухойпаёк #чтоедятвармии #габарикстолярик #габар #столярик #столяров #еда #обзорирп #габара #сухпаек #сухойпаёкармейскиебудни #чехия #сша #китай #франция #армия #армиясша #солдатскаякаша"
