video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"K1MHlzSJ5fM","Samarthya Shastram |  EP1 | Webseries | Karikku","2022-11-16T13:33:00Z","UC2bNrKQbJLphxNCd6BSnTkA","Karikku","23","22.17.11","karikku|malayalam|funny|comedy|webseries|lolan|george|karikk|karikke|film|trending|sketch|vine|flowerstv","3232050","0","0","6810","https://i.ytimg.com/vi/K1MHlzSJ5fM/default.jpg","False","True","#karikku #webseries Credits:Directed by Shyamin Gireeshhttps://instagram.com/shyamingireesh?igshid=r6md6xs3qsa7Story & Screenplay by Nileen Sandrahttps://instagram.com/nileen_sandra?igshid=18olwalhhheppProduced by: Nikhil Prasadhttps://instagram.com/nikhilprasaad?igshid=YmMyMTA2M2Y=Creative Director & Editor: Rakesh Cherumadamhttps://instagram.com/rakezdp?igshid=aet9f7suxmjpDOP: Akhil Xavierhttps://instagram.com/akhil_xavier__?igshid=YmMyMTA2M2Y=Art Direction: Sivadas Kavullapurayil https://instagram.com/sivadaskavullapurayil?igshid=112663v5vkwoxProduction Designers: Riyas PK & George Jacobhttps://instagram.com/jakeadamshomedecorinterior?igshid=YmMyMTA2M2Y=Background Score: Gopu & Lionel https://instagram.com/gopukrish_in?r=nametaghttps://instagram.com/lionalleeshoy?utm_medium=copy_linkCostume & Styling: Caroline Joseph Alappat https://instagram.com/_its_me_caroline?utm_medium=copy_linkMake Up: Arshad Varkkalahttps://instagram.com/arshadvarkala_makeup_artist?igshid=YmMyMTA2M2Y=Colorist: Azif Ismailhttps://instagram.com/neelavelichamcollective?utm_medium=copy_linkSound Design: Dhanush Nayanar  https://instagram.com/dhanushnayanar?utm_medium=copy_linkFinal Mix: Anish P Tomhttps://instagram.com/anishptom?igshid=YmMyMTA2M2Y=DI: Neelavelichamhttps://instagram.com/neelavelichamcollective?utm_medium=copy_linkVFX: Midhun KS (Promice vfx )https://instagram.com/midhu_sid?igshid=s0hpzj6q7q7cStills: Rohith K Sureshhttps://instagram.com/rohith_ks?igshid=YmMyMTA2M2Y=Design: Yellowtoothhttps://instagram.com/yellow_tooths?igshid=YmMyMTA2M2Y=Associate Dir: Najjah Abdul Kareemhttps://instagram.com/najjahabdulkareem?utm_medium=copy_linkAssociate Editor: Anzar Mohmedhttps://instagram.com/anzarmohmed?utm_medium=copy_linkDirection Team:Mubeen Mohmd Rafi, Aswin Dinesh, Sneha Babuhttps://instagram.com/__________mubeen?utm_medium=copy_linkhttps://instagram.com/aswin_dinesh?utm_medium=copy_linkhttps://instagram.com/sneha_babu_21?utm_medium=copy_linkCamera Team:Eldho Scariya, Joyal Thomas, Vishok kalathilhttps://instagram.com/eldhoscariya?utm_medium=copy_linkhttps://instagram.com/joyal__jo_thomas?igshid=YmMyMTA2M2Y=https://instagram.com/_im_vk?igshid=s0qsyb6eiqasArt Team: Sreerag S Kumar, Ajay KNhttps://instagram.com/sreerag_s_kumar_?utm_medium=copy_linkhttps://instagram.com/ajay_kn_?utm_medium=copy_linkCamera Technicians: Rejith Anirudh, Sajjad, Arjunhttps://instagram.com/rejithanirudh?utm_medium=copy_linkLights:  EKA FILMS (Gireesh)Light Technician: Sudheep PrasadFoley Recordist: Gautham Das, Gowtham Raju kFoley artist Palani Vellu, Kumar Foley Assistant: Bleset WilsonDub Recording Studio: South StudioSound Design Studio: DNS Sound FX, ChennaiCast:Sabareesh Sajjin, Krishnachandran, Nileen Sandra, Unni Mathews, Anand Mathews, Kiran Viyyath, Hebru Bernabas, Aleena Thankachan, Falak Anum, Ayan Asharaf, Prithvik Kumar, Reenu Sunny, Makesh, Vishok Kalathil, Mary Chechi, Devi Varma, Shiny Sarah, Ajayghosh G, Vishnu Prakash Kalathil, Riju Rajeev, Josey (Pailikutty), Zhinz Shan, Neeraja Rajendran, Amal V, Siyad Yadu"
"G4Jz9hk1Iac","The Perfect Date - Amit Bhadana | Katrina Kaif","2022-11-15T07:28:46Z","UC_vcKmg67vjMP7ciLnSxSHQ","Amit Bhadana","24","22.17.11","amit bhadana|amit bhadana videos|amit bhadana vines|amit bhadana dub|amit bhadana desi videos|amit bhadana new|amit bhadana latest|katrina kaif|katrina kaif new|amit bhadana katrina kaif|the perfect date|comedy|funny|horror comedy|amit bhadana movie|relationship|bollywood|amit bhadana new video|comedy video|katrina kaif movie|couples|funny video|amit bhadana song|amit badana|katrina kaif comedy scenes|amit bhadana scenes|amit bhadana dailogues|dating","6875949","0","0","145886","https://i.ytimg.com/vi/G4Jz9hk1Iac/default.jpg","False","True","Get real skills to create a remarkable impact in Software Development and Data Science. Check Out: https://www.scaler.com/?utm_source=brandedcontent&utm_medium=AmitBhadana&utm_campaign=brand_scaler_academy_brandedcontent_AmitBhadana_branded-content-video-campaign-AmitBhadana-05November2022_india_all&utm_content=YT-descriptionJab Amit ko nahi mili mannchahi naukari, he started looking out for a chokari, for marriage. Par kismat ne shayad kasam kha rakhi thi ki vo badlegi hi nahi. Chor bazaar se Amit lata hai ek phone aur iska cross connection ho jata hai phone ki asli owner “Kay” ke sath. Amit full tayyari karke date par pahunch jata hai par aisa kuch nahi hota jo usne socha hota hai, aur jo hota hai vo kisi ne bhi nahi socha hota. Kya iss date ke baad Amit ko milegi Mrs. Bhadana? Video dekh kar khud jaan jao na. There is nothing perfect about this date but comedy hai up to date. Enjoy this rib tickler with your whole family.Video Credits :Directed By - Amit Bhadana , Ravi VermaStory And Written By - Amit BhadanaDialogues And Screenplay By - Amit BhadanaDirector Of Photography - Rajesh Shukla  Editor - Mohd Firoj Aalam Music & Bgm - Lovepreet SinghLyrics & Composed By - Amit BhadanaProduction Designer - Chabi Guragai , Agrima Gupta Costume Stylist - Aarushi Jajodiya Makeup Artist (Amit Bhadana) - Govind SankhlaHair Stylist (Amit Bhadana) - Rohit Diwakar , Sahil More Makeup Artists & Hair Stylists - Zeenat Shaikh , Veeksha Poojari D.I Colorist - Sanjay GharatThumbnail By - Muzzamil HayaatSound Designer - Karan Arjun SinghSound Effects And Mixing - Sanjay MishraFoley - Karan Arjun Singh, Anil Pawar , Harish NathFoley Engineer- Suit LoharVFX By - VFX Guy Shrinay , Vfx Guy Aman Direction Team : Chief AD - Anupam Sen2nd Assistant Director -  Fahiyan Hussain 3rd Assistant Director - Advya BajpaiKatrina Kaif’s Management : Manager - Palak Vora (for Matrix IEC)Hair - Flavian HeldtMakeup - Daniel BauerStylist - Ami PatelStyling Asst - Garima GuptaValet -  Ashok SharmaDriver - Pravin ParmarSecurity - Meghnath Lokhande ( for Dome Securities) Amit Bhadanas Management - Dheeraj Jorwal Driver - Sambhaji Jhadav Makeup - Govind SankhlaStylist - Aarushi JajodiyaStylist Asst - Rukhsar ShaikhHair - Rohit Diwakar / Sahil MoreSecurity - HimselfBehind The Scenes - AdywiseOn Location Sound Recordist -  Ashok Tiwari And TeamKalakar :Amit BhadanaKatrina KaifAnand PotdukhePravin Kour Pankaj Kasana Advya BajpaiMumal Rajput Song Credits :Tumse MilKarLyrics & Composed By - Amit Bhadana Singer & Music By - Jatin#AmitBhadana #KatrinaKaif #ThePerfectDate #HorrorComedy #PhoneBhoot #Relationship#SCALER #CREATEIMPACT"
"tewmXM3qMcE","Kaisi Teri Khudgharzi Episode 30 - 16th November 2022 (English Subtitles) - ARY Digital Drama","2022-11-16T16:00:10Z","UC4JCksJF76g_MdzPVBJoC3Q","ARY Digital HD","24","22.17.11","ary|ary digital|ary digital drama|ary drama|pakistani drama|Kaisi Teri Khudgharzi Episode 30|new episode Kaisi Teri Khudgharzi|Kaisi Teri Khudgharzi new episode|Kaisi Teri Khudgharzi Ep 30|watch new ep Kaisi Teri Khudgharzi Ep 30|watch latest episode Kaisi Teri Khudgharzi Episode 30|watch ary digital drama Kaisi Teri Khudgharzi Episode 30|Kaisi Teri Khudgharzi Episode 30 ary digital drama|ary digital drama Kaisi Teri Khudgharzi|danish taimoor","16661831","0","0","7961","https://i.ytimg.com/vi/tewmXM3qMcE/default.jpg","False","True","Watch All Episodes of  Kaisi Teri Khudgharzi  Here : https://bit.ly/3pq9mHxDownload ARY ZAP :https://l.ead.me/bb9zI1Subscribe: https://bit.ly/2PiWK68Kaisi Teri Khudgharzi Episode 30 | Danish Taimoor | Dur-e-Fishan | 16th  November 2022Kaisi Teri Khudgarzi | Going To Any Length To Attain LoveThe story of Kaisi Teri Khudgarzi revolves around a son of a business tycoon, Shamsher, who falls in love with Mehak, belonging to a middle-class background.Written By: Radain ShahDirected By: Ahmed BhattiCast:Danish Taimoor as ShamsherDur-e-Fishan as MehakNoman AijazHammad ShoaibShahood AlviLaila WastiAtiqa OdhoLaiba KhanTipu ShareefZainab QayyumAyesha ToorEmad ButtShehzeen Rahat.Watch Kaisi Teri Khudgharzi Every Wednesday at 08:00 PM on ARY Digital.#DanishTaimoor #DureFishan #NomanAijaz #HammadShoaib #AtiqaOdho #LailaWasti #KaisiTeriKhudgharzi #ShahoodAlvi The most watched and loved Pakistani Entertainment channel is now on SoundCloud! Follow us here and listen to your favorite OSTs now! ♫ https://m.soundcloud.com/arydigitalhdPakistani Drama Industry's biggest Platform, ARY Digital, is the Hub of exceptional and uninterrupted entertainment. You can watch quality dramas with relatable stories, Original Sound Tracks, Telefilms, and a lot more impressive content in HD. Subscribe to the YouTube channel of ARY Digital to be entertained by the content you always wanted to watch."
"eHSm5dAJbqg","MUJHE PYAAR HO GAYA HAIN: Sourav Joshi Vlogs, Pragati Verma | Saaj Bhatt, Sandeep Batraa | Love Song","2022-11-15T02:45:07Z","UCLsMef624nZ4ME6WoSElPTg","Voilà! Digi","10","22.17.11","hindi new song|hindi songs|love songs|mujhe pyaar ho gaya hai|mujhe pyaar ho gaya hain|new hindi song 2022|new hindi songs|pragati verma|pragati verma music video|pragati verma new song|pragati verma new video|pragati verma shorts|pragati verma song|roman","8691153","0","0","30266","https://i.ytimg.com/vi/eHSm5dAJbqg/default.jpg","False","True","Voila! Digi presents 'Mujhe Pyaar Ho Gaya Hain', starring Sourav Joshi Vlogs & Pragati Verma and sung by Saaj Bhatt. This is a cute college love story, that every youngster will relate to. Relive your college love story through this song, and let us know your story in the comments below. #souravjoshivlogs #pragativerma #saajbhatt #souravjoshi  #voiladigiComment your favourite line from the song in the comment section. If you like the song, do leave a like and share the song with your friends and family. Make Reels: https://www.instagram.com/reels/audio/1184057609130906/Make YouTube shorts and Reels on the song and tag the 'Mujhe Pyaar Ho Gaya Hain' team. We would love to see your creativity and would even share the best ones! ‘Mujhe Pyaar Ho Gaya Hain’ is available on all audio platforms:Wynk Music: https://bit.ly/3O7OX5JSpotify: https://spoti.fi/3OeeGt5JioSaavn: https://bit.ly/3AjvzNdYouTube Music: https://bit.ly/3UuVcCRApple Music: https://apple.co/3tNPY9LAmazon Prime Music: https://amzn.to/3hB1wKlHear Sourav Joshi's other songs: https://youtube.com/playlist?list=PLosW0gUeNzwbs63b42ZmfIPxmvpAot6UrHear Pragati Verma's other songs: https://youtube.com/playlist?list=PLosW0gUeNzwb7gxiHPzgyDHqTF742bN0UCredits:Starring: Sourav Joshi & Pragati VermaSinger: Saaj BhattMusic Composer: Sandeep BatraaLyricist: Azeem ShiraziProducers: Girish Jain & Vinit JainSpecial Thanks: Karishma ChhajerDirector: Nitesh TyagiVideo Credits:DOP: Rajveer SinghEdit: Nitesh TyagiAD: Rudra KrishnaDI: Prince SethiLine Producer: Sanjay Bisht, Rajat Kumar, (TNL Event & Production)Location: Tula's Institute Dehradun, Tula's International SchoolSpecial Thanks: Discover Uttarakhand Magazine, Raunak Jain, Ashutosh Mishra, Rishabh RautelaFocus Puller: Suresh DadaMakeup: AnkushBTS: ManthanAudio Credits:Electric & Acoustic Guitar: Ishan DasTabla, Dholak & Percussion: Nitin Chimote, Prasad MayekarBass Guitar: IvanArrangement & Programming: Sandeep BatraaMixed & Mastered by: Prithvi Sharma at SoundvaultstudioOnline Promotions: Mediaone Network & Voila! DigiLabel: Voila! DigiWatch this love song and seed it in your New Hindi Songs 2022 playlist, romantic songs playlist, romantic song playlist, love songs playlist, romantic music playlist, love music playlist, romantic Hindi songs playlist, romantic hindi songs playlist, Hindi new songs playlist, hindi new song playlist, indian songs playlist, new song playlist, romantic hindi songs, hindi romantic songs playlist sourav joshi new song playlist, sourav joshi all songs playlist, sourav joshi songs playlist, sourav joshi song playlist, sourav joshi music video playlist, pragati verma song playlist, pragati verma songs playlist, pragati verma new song playlist, pragati verma music video playlist, saaj bhatt songs playlist, saaj bhatt new song playlist, saaj bhatt song playlist and all your other Hindi song and new songs playlists.Follow Voila! Digi:Instagram: https://www.instagram.com/voila_digi/...Facebook: https://www.facebook.com/voiladigi/Twitter: https://twitter.com/VoilaDigiSaaj Bhatt is exclusively managed by Voila! Digi. For any enquiries related to Saaj Bhatt:saaj@voiladigi.inFor enquiries: contact@voiladigi.in"
"WN6zI-WQeF4","All about SABA & KHALID’s Reception❤️","2022-11-16T04:49:11Z","UChZ0JmGgyOWSU-1iXxPhsVA","Sambhavna Seth Entertainment","22","22.17.11","sambhavnaseth|ss vlogs|hindi vlogger|celebrity vlogger|indian vlogger|bigg boss|bigg boss contestant|husband wife vlogs|funny vlogs|food vlogger|lifestyle vlogger|husband wife challenge|travel vlogger","2380803","0","0","3464","https://i.ytimg.com/vi/WN6zI-WQeF4/default.jpg","False","True","For any queries or feedback please mail us to sambhavnasethentertainment@gmail.comGears we use for vlogging :-Canon 80d camera - https://amzn.to/3cfyBGbCanon 80d extra battery  - https://amzn.to/3uQNOnvCanon 80d extra charger-  https://amzn.to/3ifFT0GBest vlogging lens for Canon 80d  - https://amzn.to/3vOxXaDCanon 80d Lens for cinematic shots - https://amzn.to/3iap4nPBest vlogging camera Canon G7x iii - https://amzn.to/2S9W5pk Extra battery for Canon G7x iii - https://amzn.to/3petYkYExtra charger for Canon G7x iii - https://amzn.to/3uPfZ6mSony Vlogging camera - https://amzn.to/3g785jnVlogging mic - https://amzn.to/3ceKEUiCollar mic - https://amzn.to/3cepZQpSandisk memory card 128gb - https://amzn.to/34Lb63EGorilla tripod for G7x iii and Phone - https://amzn.to/3ySxwOtGorilla tripod for Canon 80d - https://amzn.to/34JZa24Macbook air - https://amzn.to/3glunyjIphone 12 pro max for slow motion - https://amzn.to/2STtKUeRing light - https://amzn.to/3fKL3juFollow me on :- YouTube :- http://bit.ly/SambhavnaSethEntertainmentFacebooK :- https://www.facebook.com/ImSambhavnaSethTwitter :- https://twitter.com/sambhavnasethInstagram :- https://www.instagram.com/sambhavnasethofficialFollow AVINASH:-Instagram - https://www.instagram.com/imavinashdwivediYoutube - https://www.youtube.com/c/avinashdwivediartist#sabakishaadi #reception #vlog #sabaibrahim #shoaibibrahim #dipikakiduniya"
"Z8npORNa8XM","Love Today Telugu Trailer - Pradeep Ranganathan | Yuvan Shankar Raja | AGS | Dil Raju","2022-11-17T04:32:34Z","UCR-uD130PlXKww_J2Q63CMg","Dil Raju","24","22.17.11","Love Today - Telugu Trailer | Pradeep Ranganathan | Yuvan Shankar Raja | AGS | Dil Raju|Pradeep Ranganathan|Sathyaraj|Yogi Babu|Ivana|Radhika Sarathkumar|Raveena|Finally Bharath|Adithya Kathir|Aajeedh Khalique|Vijay Varadaraj|Akshaya Udayakumar.|Telugu latest trailers|Romantic|Lates Trailers 2022|best trailers|Telugu trailers|dubbed movies|Telugu dubbed movies","327121","0","0","518","https://i.ytimg.com/vi/Z8npORNa8XM/default.jpg","False","True","#LoveToday - Telugu Trailer Starring Pradeep Ranganathan, Sathyaraj, Yogi Babu, Ivana, Radhika Sarathkumar, Raveena,Finally Bharath,Adithya Kathir,Aajeedh Khalique, Vijay Varadaraj, Akshaya Udayakumar.Release by Sri Venkateswara CreationsProduced by : Kalpathi S.Aghoram, Kalpathi S.Ganesh, Kalpathi S.SureshBanner : AGS Entertainment CREW :Written, Lyrics & Directed by : Pradeep RanganathanCreative Producer : Archana KalpathiExecutive Producer : S.M.Venkat ManickamAssociate Creative Producer : Aishwarya KalpathiDop : Dinesh PurushothamanEditor : Pradeep E RagavArt director : MKTMusic Director : Yuvan Shankar RajaChoreographer : SandyCostume designer : Pallavi Singh, Sher AliAction Director : Miracle michaelSound design : Sync CinemaSound Mixing : Tapas NayakProduction Executive : M.SenthilkumarPublicity Designer : VenkyPRO : Vamsi KakaStills : S. MurugadossCostumer : PrasadMakeup : KuppusamyDI : Prasath SomasekarVfx : Knack StudioAssistant Directors : U.Bhaskar, Ramesh Narayanan, Deepan Raj, Deselva, Vijay Prakash, Maria Elanchezhian, Subash Raj.K, Ajay Gurunathan, Manikandan. CMusic Label - Sony Music Entertainment India Pvt. Ltd.Full Telugu Movies - https://goo.gl/buaJpfFollow us on: Twitter: https://twitter.com/SVC_officialFacebook: https://www.facebook.com/DilRajuOfficialFacebook: https://www.facebook.com/SriVenkatesw...YouTube: http://goo.gl/dwcKmrInstagram: https://www.instagram.com/srivenkates...Telegram: https://t.me/SVC_Official"
"R3HXk1OtccA","Hema Malini in Nalbari Rakh - চাওঁক কি কথা পাতিলো","2022-11-15T03:38:28Z","UCv5KsGwkGEpNe55ElbXqRUw","Dimpu's Vlogs","22","22.17.11","hemamalini in Nalbari rakh|hemamalini in rakh|nalbari rakh video|nalbari hemamalini|hemamalini dimpus vlog|dimpu baruah with hemamalini|Assamese video|rakh vlog|nalbari rakh vlog|rakh 2022 assam|Dimpu Baruag","1602878","0","0","3158","https://i.ytimg.com/vi/R3HXk1OtccA/default.jpg","False","True","Hemamalini in Nalbari rakh#assamese #nalbari #hemamalini"
"APe0TO49E00","🇰🇷CVS BLACK FOOD CHALLENGE: shopping and food 🖤✨","2022-11-15T09:26:30Z","UCcC0Vg-luhmJErWbFmAtudQ","Pooh in Korea","22","22.17.11","Cvs challenge|Pooh in Korea|My love from Korea|Korean food|Convenience store challenge|Korean vlogd|Indian in Korea|Korean boyfriend|Korean husband|Indian girl in Korea|Living in Korea|Kpop|Black food|Food challenge|Black food in Korea|Kdrama|BTS","2469812","0","0","30053","https://i.ytimg.com/vi/APe0TO49E00/default.jpg","False","True",""
"JunXSKlMmUs","Kundali Bhagya: OMG! Preeta Learns About  Arjun's TRUE IDENTITY","2022-11-16T09:50:00Z","UCPmpyXciSmUXPwdTW_0mbGw","Saas Bahu Aur Betiyaan","24","22.17.11","saas bahu beti|saas bahu aur beti|saas bahu aur betiyaan|entertainment show|TV celebs|tv shows|hindi shows|entertainment videos|celeb interviews|tv actors|tv actress|popular tv actors|Woh Toh Hai Albela|Shaheer Sheikh|Anuj Sachdeva|Kinshuk Vaidya|Hiba Nawab|Suruchi Adarkar|Pallavi Pradhan|kanha|chiru|nakul|sayuri|aparna dixit|chiru-sayuri|kanha lover","1007566","0","0","410","https://i.ytimg.com/vi/JunXSKlMmUs/default.jpg","False","True","checkout the video to know where Arjun  Reveal his true  IDENTITY in front  Preeta in Zee TV's serial Kundali Bhagya.. #DheerajDhoopar #ShraddhaArya #kundalibhagya #shaktiarora #manitjoura"
"pp4ZA35sCt4","Jatra Pagala Reloaded||Odia comedy||Funny Angulia||Khordha Toka||Mr Dhenkanalia","2022-11-15T05:22:20Z","UCRSVI-eLa2y4BVCJNf1-aSA","Funny Angulia","24","22.17.11","funny angulia|Odia comedy|Jatra pagala|Jatra comedy|Khordha Toka comedy|chandan biswal comedy|ek tha photo grapher|ama ghara katha|funny video|Odia new song|Bali jatra odisha|Daman Odia movie|Mr dhenkanalia comedy|viral comedy video|trending comedy video|ek tha photo|angulia bunty comedy|natia comedy|gua ghia song|angulia bunty song|janu tame chamku cha|lachaka mani baby lo|lachaka mani|Bali jatra Cuttack","1247679","0","0","3767","https://i.ytimg.com/vi/pp4ZA35sCt4/default.jpg","False","True",""
