video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"OUkCp4YD2Hs","【大人気】流行りのTikTok曲をメドレーにして歌ってみた！！！【スカイピース×コムドット】【2022冬】","2022-11-16T11:00:09Z","UC8_wmm5DX9mb4jrLiw8ZYzw","スカイピース","22","22.17.11","スカイピース","1904213","0","0","5535","https://i.ytimg.com/vi/OUkCp4YD2Hs/default.jpg","False","True","@コムドット おはこんばんにちわ映像監督のじむたでございますかれこれTikTokメドレーの映像制作をして3度目ですが間違いなく言える事があります。“”過去最高傑作です””自分のメインの仕事がYouTuberとしての動画制作とアーティスト面では歌を歌ったり踊ったりライブしたりと色々な事をしてるので映像を勉強する時間とかもあまり無いのですが、MVとしてのクオリティーは過去で1番高いのではないでしょうか年々パワーアップして来てる気がしますっ嬉しい趣味でMVは昔から作ってるのですが、もっともっと勉強する部分があるのでまだまだクオリティー上げれる！って思うとこれからが楽しみですMVの構成を自分で作ってるのですが本当に考えてて楽しいです撮影当日はドキドキやハプニングが多いですがたくさんあるパートの中1個ずつ動画撮影を完了していく流れが楽しくて仕方ありませんそしてTikTokメドレーって簡単に出来る作品ではありませんスカイドット以外にも投稿してる人居ますが、あれマジで凄いです。wwww関わってくれた人への感謝をしたいので紐解いて一体何が大変なのか言っても良いですか！！！・曲を選ぶ事。TikTokで無限にある曲の中で何が流行ってるか見定めるのはとても大変だしセンスが必要ですなにが視聴者さんに求められてるのか、スカイドットが歌う楽曲は何が合うか、良いか相当分析をしてそしてその順番、構成、歌い分けを練る事。誰がどの曲に合うか考えてバランスを見る事。これはテオくんがやってくれました・これだけ数多くある楽曲をアレンジし繋げてオケ制作する事。1曲ならコード進行が同じだったりしてオケ制作がスムーズに行く事が多いのですがメドレーは何曲も詰まってます。多分スカイドットのメドレーって結構長いので、ここまで曲数詰め込んでる人少ないと思います。しかも打ち込み制作だけじゃなくて生のギターを弾いて入れてくれたりしてますそのギターの練習もありますし、メドレーの音源制作ってマジでエグいんですこれはいつもお世話になってるアルトさんに今回もお願いさせて頂きました・合計7名もの録音をする事。TikTokメドレーの録音は大体平均すると1人の録音に対して1時間30分掛かってます。単純計算して×7人…..10時間30分….！？！？！？それと同時にそこまでこの作品に時間を費やしてくれるメンバーに感謝しかありません….曲を聴いた事あるのと、実際に歌うのじゃ聴き込み度合いが全く違いますなのでみんなにはあらかじめ沢山楽曲を聴いて貰いましたそしてこの録音はテオくんとじんで分けて録音を立ち合いました・膨大な人数のMIXをする事。自分達の歌をMIXしてくれる人も半端なく大切な存在ですこの大人数のMIXは手間も時間も掛かります音程やリズム調整、細かい補正がされてこそ綺麗に聞こえるものです…特に歌に不慣れだとさらにMIXが時間掛かりますきっとMIX師様には多大な作業をして頂いてると思います…wアルトさんや他のMIX師様に、“大変だった”なんて聴いた事ないですがきっと物凄い頑張ってくれてます本家の曲を聴きイメージを掴み、メドレーでも色々な細工をして楽しく聴いてもらえるように工夫して頂いてます作品を良くする為に何度も修正を出させて頂いて妥協の一切ないMIXを仕上げてくださいました嫌な顔せずに快く修正を引き受けてくださったみなさん、本当にありがとうございますこのMIXもアルトさんのチームが引き受けてくださりました・MVの制作。こちらは自分が一番関わってる部分でもあるのですがなにはともあれここはYouTube。音源だけ投稿するサンクラでもないので映像があってこそなのですメドレーの曲と歌割りが決まったら自分は絵コンテ動画を制作します。誰が、どの場所で、どんなリップシンクで、どんなダンスで、どんな画角で、何が必要なのか全てメモした映像を制作しますこの動画はどっこにも公開されませんが、イメージが伝わるように本家のMVが入ってたりこうゆう風に踊って欲しい！という参考でTikTokで踊ってる人の映像が入ってたりする動画です。明日のTikTokオフショットで少し映ってるかもしれませんダンスがあるとなると、メンバーは覚えなくてはいけませんコムドットはそれも覚えてくれましたそしてカメラマンも自分が担当させて頂きましたみんな第一回のメドレーと比べてリップシンクや動きが慣れて来てて物凄く撮りやすかったですカメラもカメラワークやピント、明るさによってのカメラの設定、1パートにどれくらい時間を使えるのかという風に考える事がたくさんありましたけど、みんなのお陰で段取りよく撮影が出来ました；；MV構成、MV制作、カメラマン、じんが担当させて頂きました・テキストアニメーションの追加。この映像にテキストアニメーションが追加されるとより一層凄くなります。しかしこのアニメーション、並大抵の人が真似できるクオリティーじゃありません今まで制作して培った技術がないと難しいです。気付けばこのTikTokメドレーはアニメーションが欠かせない作品になりました。自分の撮った映像をりなみんは何倍も良くしてくれて、作品の意図が伝わるようにアニメーションを入れてくれてます。マジ神ですこの人。このアニメーションはりなみんがいつも入れてくれてます。・スタジオの予約、現場での段取り、進行、照明、補助。こちらは全てMVにとって欠かせない物です。自分がイメージしてるMVの雰囲気を伝えて楽曲に合うスタジオを全力で探してくれましたスタジオもなかなか空いてなかったりするのに雰囲気の合う空いてるスタジオを探してくれました照明や機材の使い方もマスターして補助と進行してくれました何よりも大変なのが、香盤表の製作ですメンバーやスタジオの入り時間を逆算して何時までに出発しなくてはいけない等、全て計算して書かなくてはなりません。円滑に製作するにおいて欠かせない物です。しかし、様々なトラブルがありました。全員でのダンス撮影での時間の押し、それに伴って次のスタジオへの入り時間変更、渋滞で思い通りに場所へ行けなかったり、照明のバッテリーが切れてしまったり。そんな中慌てず丁寧に対応してくれましたオフショットのカメラが回ってるのにも関わらず合間で制作の手伝いもしてもらったり、、、ここちゃん、こんくんに担当して貰いました。全ての楽曲とスタッフ、色々な人が関わってくれてみんなが協力してくれて、やっと1本のTikTokメドレーの動画が完成してます誰か1人が欠けたら完成しません心の底からありがとうございます作者様に使用報告を送らせて頂きました改めて、このメドレーは色々な方に聴いて貰えてるんだと実感しました“このメドレーに入れるんですね！”と言ってくださったり“楽しみです” や ”絶対見ます” というお言葉まで頂けましたみなさん本当にありがとうございます長く語ってしまいました感謝させて頂きたい人ばかりですそんな沢山の気持ちが入ったTikTokメドレーをみんなに聴いてもらえたら嬉しいですじんでしたMix&アレンジ by アルト監督 by じむたAnimation by りなみん歌 by スカイドット【使わせて頂いた楽曲】チグハグ / THE SUPER FRUITおとせサンダー / ぼっちぼろまるPAKU / asmi lllトゥルティンアンテナlll / レタスP Feat. 逢坂良太グッドな音楽を / ねぐせ。だいしきゅーだいしゅき / Femme fataleDARARI (REMIX) / TREASUREスターマイン / Da-iCE Partner / 有華スピッツ 『チェリー』 REMAKE feat. BBY NABE / Matt CabHabit / SEKAI NO OWARI韻波句徒 / CHEHONClap Snap / Icona Pop毒きのこの曲 / 0am feat.ゆづっこタイミング Timing (Cover) / Klang Rulerだいあるのーと / 七草くりむ愛のしるし / PUFFYEarth Defense Force / EmetsoundOverdose / なとりWoo Young Woo Greeting / KOJOBOOStart / GahoPOP! / NAYEONVERY NICE / SEVENTEENダンスホール / Mrs. GREEN APPLE異世界混合大舞踏会 (feat. おばけ) 星野源 Cookies x Domino - Kuya Magik(Ma Boy / SiSTAR 19エジソン / 水曜日のカンパネラTalking Box(Dirty Pop Remix) / WurtS虜 / My Hair Is BadWorld's Smallest Violin / AJR#スカイピースのアルバム更新のハッシュタグをつけてTwitterでのツイートやTikTokでの面白い切り抜きをしてね！！見つけたらいいねやコメントをしに行きますやるからには全力で！ネットで出会った幼馴染2人組！スカイピースチャンネル登録お願いします！https://www.youtube.com/channel/UC8_wmm5DX9mb4jrLiw8ZYzw平和島のチャンネル登録もよろしくね！！https://www.youtube.com/channel/UCn_cpHcrXjG_XnH9N3fO6qA/videos◆メンバーシップ！生放送や限定動画を配信！https://www.youtube.com/channel/UC8_wmm5DX9mb4jrLiw8ZYzw/join★スカイピースの連絡先が新しくなりました★skypeace.information@gmail.com↑お仕事や、ここ使って！みたいなご依頼お待ちしております。- スカイピース -■ Twitter ⇒ https://twitter.com/skypeace_teojin- テオくん -馬面■ Twitter ⇒ https://twitter.com/teokun711■ Instagram ⇒ https://www.instagram.com/teokun.711/■ YouTube ⇒ https://www.youtube.com/channel/UCj6_0tBpVpmyYSGu6f-uKqw- ☆イニ☆(じん)じんたん -出っ歯メガネ■ Twitter ⇒ https://twitter.com/JINJIN1027■ Instagram ⇒ https://www.instagram.com/jinjin10272/■ YouTube ⇒ https://www.youtube.com/channel/UC5VZjrV5x9J9mTyGODzu0dQ#スカイピース #コムドット #スカイドットWeek #コムドットWeek  #TikTokメドレー2022"
"QjkBTKEHcGE","#180【全員集合】友達ですよね？と確認された日","2022-11-16T10:00:20Z","UC2alHD2WkakOiTxCxF-uMAg","ジャにのちゃんねる","24","22.17.11","[none]","1311716","0","0","4003","https://i.ytimg.com/vi/QjkBTKEHcGE/default.jpg","False","True","皆様、こんばんは♪ジャにのちゃんねるです!!!!今週も後、半分頑張っていきましょう🕺という事で、全員集合です🦤やっぱりさ、チーム感が出て来たと経理は勝手に感じてます🦦皆で、ワイワイするのは嬉しいもんです🦫…はなおくん御結婚おめでとう㊗️という事で、今日の動画もお楽しみ下さい♪#ジャにの #友達認定 #朝メシ"
"hA7sDY1kt1k","【迫りくるエイリアンから生き延びろ！】弟者,兄者,おついちの「エイリアン:ファイアーチーム エリート」【2BRO.】","2022-11-16T14:37:44Z","UC2GuoutVyegg6PUK88lLpjw","兄者弟者","20","22.17.11","[none]","412985","0","0","51","https://i.ytimg.com/vi/hA7sDY1kt1k/default.jpg","False","True","★最新投稿情報はツイッターで！《@Otojya》https://twitter.com/otojya▼2BRO.関連チャンネルリスト【兄者弟者チャンネルTOP】https://www.youtube.com/user/norunine【兄者のゲーム事務所（兄ゲー）TOP】https://www.youtube.com/c/anijyagame【おついち TubeチャンネルTOP】https://www.youtube.com/user/afuramazda08262021/08/24「#Aliens:FireteamElite」#弟者#2bro"
"B64l1YLsa5c","本音で怒ってくれるタイプの人","2022-11-16T12:04:30Z","UCpZnHxjKCAOm-FKPrYYi-LA","ブライアンチャンネル","24","22.17.11","おもしろ|あるある|会社|社会|上司|後輩|モノマネ|声真似","718100","0","0","2272","https://i.ytimg.com/vi/B64l1YLsa5c/default.jpg","False","True","怒ってる人見た時に思い出してほしい"
"b3RQGMogxSc","今回限り！！京本大我＆藤原さくら 『束の間の一花』主題歌「ふたり」をふたりで歌ってみた！","2022-11-16T12:00:25Z","UCKRobtQAukJWamm98fw1D7Q","シンドラ公式チャンネル","24","22.17.11","[none]","394876","0","0","0","https://i.ytimg.com/vi/b3RQGMogxSc/default.jpg","True","True","日本テレビ月曜深夜ドラマ 「シンドラ」 『束の間の一花』毎週月曜24時59分放送SixTONESが歌うドラマ主題歌「ふたり」を京本大我と藤原さくらでセッション！！【期間限定】〈あらすじ〉余命宣告を受けている「哲学講師」萬木昭史（ゆるぎあきふみ）と余命宣告の期間を超えた「生徒」 千田原一花（せんだわらいちか）同じ境遇のふたりが、いつ終わりを迎えるかわからない日々を過ごす儚くも温かい“束の間”の恋の物語。公式HP やSNS でも最新情報をお届けします！ぜひフォロー＆チャンネル登録をお願いいたします！【公式HP】https://www.ntv.co.jp/tukanomanoitika/【公式SNS】 Twitter＞＞ https://twitter.com/shindora_ntvInstagram＞＞ https://www.instagram.com/shindora_ntv#京本大我　#SixTONES　#藤原さくら　#束の間の一花　#佐々木大光　#7MEN侍　#ジャニーズJr.　#駒井蓮　#山之内すず　#富田靖子　#きたろう　#朝加真由美"
"y0lbX39dvtc","【新型 プリウス】19インチ履いて加速力アップした","2022-11-16T10:35:27Z","UCfe8_5qCM2n2uoB3Nsz_IFQ","ウナ丼_STRUT_エンスーCARガイド","2","22.17.11","口だけの自称車好きをドリフトのナビシートで黙らせるっ！！|Z軸回りのモーメント","452349","0","0","653","https://i.ytimg.com/vi/y0lbX39dvtc/default.jpg","False","True","ついに登場の新型はシュッとした造形で登場。クラウンといいプリウスといい、トヨタがきてます------------------------------------------ウナ丼（UNADON)と申します。1985年以降のノーマルか、ほぼノーマル車両を紹介していますよ※現在、撮影車両の募集はしていません"
"6cv_XHGXZTw","Little Glee Monster「M∞NSTER AUDITION」#10 新メンバー決定！","2022-11-15T23:00:04Z","UCC2M6-jBjWuVtrTZZg-ymjg","LittleGleeMonsterYT","10","22.17.11","Little Glee Monster|リトグリ|オーディション","460415","0","0","960","https://i.ytimg.com/vi/6cv_XHGXZTw/default.jpg","False","True","Little Glee Monster新メンバー候補を探す「M∞NSTER AUDITION」いよいよ新メンバー決定！11/14の最終審査ライブとメンバー発表の様子をお届けします！「M∞NSTER AUDITION」・・・第2章を紡いでいくLittle Glee Monsterに新メンバーとして加わる形や、新たなグループやソロアーティストなど幅広い活動の可能性を想定しています。 ◆Little Glee Monster公式Twitter：https://twitter.com/LittleGleeMonstInstagram：https://www.instagram.com/littlegleemonster_official/◇ミカTwitter：https://twitter.com/mika_lgm_0831Instagram：https://www.instagram.com/lgm_mika_official/◇結海Twitter：https://twitter.com/yumi_lgm_0529Instagram：https://www.instagram.com/lgm_yumi_official/◇miyouTwitter：https://twitter.com/miyoucama_lgmInstagram：https://www.instagram.com/lgm_miyou_official/◇かれんTwitter：https://twitter.com/ka__lgmInstagram：https://www.instagram.com/lgm_karen_official/◇MAYUTwitter：https://twitter.com/tadai_mayuchanInstagram：https://www.instagram.com/lgm_mayu_official/◇アサヒTwitter：https://twitter.com/yukinko_asahiInstagram：https://www.instagram.com/lgm_asahi_official/"
"WE0fzCZRukg","【ココが気になる8つの点】新型プリウス フルモデルチェンジ! 内装&外装レポート 想像以上にカッコイイ! アレやアレも採用で激売れ待ったナシか!? | TOYOTA PRIUS 2023","2022-11-16T09:50:55Z","UCo150kMjyLQDsLdudoyCqYg","クルマ買う系チャンネル「ワンソクTube」","2","22.17.11","[none]","355488","0","0","704","https://i.ytimg.com/vi/WE0fzCZRukg/default.jpg","False","True","フルモデルチェンジした新型プリウスを内装＆外装の気になるポイントをレポートします！そして私は買うのか?!内装のピアノブラック部分のコーティングするならワンソクTubeも使ってる「スマホまもる君」！ワンソク限定のAmazon 5%オフのクーポンコード→　wansokumamo購入はコチラからどうぞ→　https://amzn.to/3wAF3BM「どうしてそんなに早くクルマを買い替えられるの？」という質問をよくいただきますが、それはクルマを高く売却できているからです。そのやり方をまとめたので知っていて損はないと思います↓【ワン速方式】ネット一括査定で高く売却するやり方をやさしく解説!! ディーラー下取りより数十万円お得かも【ブックマーク推奨】　https://wansoku.com/blog-entry-3184.html★車の中でYouTubeやアマプラ、ネトフリが挿すだけでカンタンに見れちゃう「オットキャストU2-PLUS」はApple CarPlayに対応しているカーナビなら使えます！（ホンダの新型ナビは除く）Amazonで買う方はコチラ↓https://amzn.to/3AtibFq楽天・単品　https://item.rakuten.co.jp/protos/u2plus/・リモコンセット品　https://item.rakuten.co.jp/protos/u2plusairmouse/ヤフーショッピング・単品　https://store.shopping.yahoo.co.jp/akindoyamaru/u2plus.html?sc_i=shp_pc_search_itemlist_shsrg_img・リモコンセット品　https://store.shopping.yahoo.co.jp/akindoyamaru/u2plusairmouse.html?sc_i=shp_pc_search_itemlist_shsrg_imgオットキャスト公式サイトhttps://ottocast-japan.com/collections/allオットキャストの解説動画はこちら↓https://youtu.be/Uwt6hVlQ4EQ※Amazonや楽天などでottocastの正規品でない商品を【公式】や正規品と偽って販売している業者や類似粗悪品ブランドを販売している業者が乱立し、被害にあわれている方が続出しております。車でyoutubeなどの動画を楽しみたい方はOTTOCAST製品をお勧めします。また、購入の際は国内唯一の正規販売店である、商人屋から必ず購入してください。正規販売店はサポート、保証などがしっかりしております。 購入する前に店舗名が「商人屋」である事を確認し、購入をお願いいたします。ワンソクTubeのメンバーシップ盛り上がってます。特典と価格はコチラ↓https://www.youtube.com/channel/UCo150kMjyLQDsLdudoyCqYg/join↑攻めのクルマ購入クラブではクルマを買うためのお金の作り方や、試乗動画本編の公開前に試乗速報や裏話を月に8〜10本配信します。「人生を変えたい」と思う方の参加をお待ちしています。メンバーシップ「攻めのクルマ購入クラブ」限定動画一覧はコチラ↓https://www.youtube.com/playlist?list=UUMOo150kMjyLQDsLdudoyCqYg動画より早い！試乗の最速リアルタイム情報はTwitterでチェック！https://twitter.com/phoshiakiワンソクTube＆ワンダー速報は「クルマ買うチューバー」としてバンバンクルマ買っていきます！！そして身銭を切ったオーナーとして話題の車をオーナー目線で良い所も悪い所もレビューします！2022年10月現在の愛車（最新情報はチャンネル概要欄を参照）2021.04- ヤリスクロスHYBRID Z（KINTOで契約）2021.09- 日産ノートオーラ2021.12- ランドクルーザー300 GR-S2022.01- レクサスNX3502022.01- アウトランダーPHEV2022.02- LANDROVER DEFENDER X2022.03-  BMW M240i xDrive Coupe2022.03-  N-BOX custom STYLE +BLACK2022.03- 新型ヴォクシー HYBRID S-Z2022.06- 新型ステップワゴンSPADA Premium Line2022.09- 日産エクストレイル2022.10- マツダCX-602022 トヨタヤリスクロスGR-SPORT（納車予定）2023 トヨタ新型クラウンクロスオーバー（納車予定）2023 ホンダZR-V（納車予定）2023 レクサスLX600 OFF ROAD（納車予定）2023 ランドローバー新型レンジローバースポーツ（納車予定）日本の主軸産業でもある自動車産業にお金を落としつつ、視聴者の物欲を刺激し、クルマを買いたい人の背中をいつでも押します！！イイネと思ったらチャンネル登録もぜひお願いいたします＾＾Gmailにログインしているとチャンネル登録できます。ベルのマークをONにしておくと、新着動画が上がると通知が出るので見逃しもありませんよ♪"
"5R8TYpLAJLE","ライバル同士でウーバーイーツ1日頼み合いしたら熱が入り過ぎた【やまと,ゆうた】","2022-11-15T11:00:08Z","UC8_wmm5DX9mb4jrLiw8ZYzw","スカイピース","22","22.17.11","スカイピース","1631193","0","0","1556","https://i.ytimg.com/vi/5R8TYpLAJLE/default.jpg","False","True","​@コムドット おはこんばんにちわスカイドットWeekも5日目になりましたここまでお楽しみ頂けてますか？テオくんと色々話し合って、どうしたらみんなが楽しく動画を観れるか、少しでも日常に楽しみを与えられるかを考えてこのWeekを考えてますYouTubeで長尺の動画が好まれるようになって試行錯誤して楽しく観れる長尺企画を考えて生まれたのがこのUberEats頼み合い企画です元々自分のイメージだとパパラピースが頼み合いしてたイメージなので、(違ったらすみません)発想が素晴らしすぎるなぁと思いますそりゃ俺もじんじんに間違われますわそのまま企画同じで行うのも面白いなぁと思ったのですが、そこはスカイピースの強みであるコラボで、それぞれ1人画角で、さらに普段聞けない質問をする事でいつものYouTubeで見れない一面を観れるし聞けると思って、こうゆう形式でアレンジしましたパパラピーズ、ありがとうそしてここまで続いたスカイドットWeekも残す動画は2本です明日は…分かりますよね？スカイピース×コムドットで1番の大人気企画です明日の20:00みんなで一緒に楽しみましょうじんでした今日のイラストはまゆか！2人の表情が可愛すぎてるwwwありがとう！！！今日から一緒に住みますhttps://youtu.be/55xXYNab1WQ#スカイピースのアルバム更新のハッシュタグをつけてTwitterでのツイートやTikTokでの面白い切り抜きをしてね！！見つけたらいいねやコメントをしに行きますやるからには全力で！ネットで出会った幼馴染2人組！スカイピースチャンネル登録お願いします！https://www.youtube.com/channel/UC8_wmm5DX9mb4jrLiw8ZYzw平和島のチャンネル登録もよろしくね！！https://www.youtube.com/channel/UCn_cpHcrXjG_XnH9N3fO6qA/videos◆メンバーシップ！生放送や限定動画を配信！https://www.youtube.com/channel/UC8_wmm5DX9mb4jrLiw8ZYzw/join★スカイピースの連絡先が新しくなりました★skypeace.information@gmail.com↑お仕事や、ここ使って！みたいなご依頼お待ちしております。- スカイピース -■ Twitter ⇒ https://twitter.com/skypeace_teojin- テオくん -馬面■ Twitter ⇒ https://twitter.com/teokun711■ Instagram ⇒ https://www.instagram.com/teokun.711/■ YouTube ⇒ https://www.youtube.com/channel/UCj6_0tBpVpmyYSGu6f-uKqw- ☆イニ☆(じん)じんたん -出っ歯メガネ■ Twitter ⇒ https://twitter.com/JINJIN1027■ Instagram ⇒ https://www.instagram.com/jinjin10272/■ YouTube ⇒ https://www.youtube.com/channel/UC5VZjrV5x9J9mTyGODzu0dQ#スカイピース #コムドット #UberEats #頼み合い #質問コーナー #チャンネル登録者数球技大会"
"WeuLPpT1IIo","【涙浮かべ…】石田純一さん　元妻・松原千明さんの訃報に　悲痛の思い語る","2022-11-16T13:32:40Z","UC10yrUCYhfXiFp6f0HseMNQ","TBS芸能エンタメ情報","24","22.17.11","石田純一|松原千明|訃報|追悼|芸能|女優","257206","0","0","194","https://i.ytimg.com/vi/WeuLPpT1IIo/default.jpg","False","True","俳優の石田純一さんが、都内でのイベント後、報道陣の取材に応じ、元妻で女優の松原千明さんの死去についてカメラの前で、涙ながらに語りました。#石田純一 #松原千明 #訃報 #追悼 #芸能 #女優"
